name,description,module,path,canonicalId
"alignment-signoff","Create alignment around your idea before starting the project","wds","_bmad/wds/workflows/0-alignment-signoff/workflow.md",""
"project-setup","Project onboarding - determine project type, complexity, tech stack, and route to correct phase","wds","_bmad/wds/workflows/0-project-setup/workflow.md",""
"workflow-validate","Systematically audit page specifications for completeness, consistency, and quality.","wds","_bmad/wds/workflows/4-ux-design/workflow-validate.md",""
"project-brief","Establish project context - foundation for all design work","wds","_bmad/wds/workflows/1-project-brief/workflow.md",""
"trigger-mapping-validate","Validate Trigger Map documents against WDS quality standards","wds","_bmad/wds/workflows/2-trigger-mapping/workflow-validate.md",""
"trigger-mapping","Map business goals to user psychology through structured workshops","wds","_bmad/wds/workflows/2-trigger-mapping/workflow.md",""
"scenarios-validate","Validate UX scenario outlines against WDS quality standards","wds","_bmad/wds/workflows/3-scenarios/workflow-validate.md",""
"scenarios","Create UX scenario outlines from Trigger Map through structured micro-steps","wds","_bmad/wds/workflows/3-scenarios/workflow.md",""
"Modular Component Architecture","Reference guides for three-tier specification system (Pages, Components, Features)","wds","_bmad/wds/workflows/4-ux-design/data/modular-architecture/workflow.md",""
"Object Type Router","Intelligent object detection and routing system for page specification","wds","_bmad/wds/workflows/4-ux-design/data/object-types/workflow.md",""
"workflow-discuss","Creative dialog for page design — discuss what each page needs, then visualize and specify.","wds","_bmad/wds/workflows/4-ux-design/workflow-conceptualize.md",""
"workflow-design-system","Define, update, and review design system components used across page specifications.","wds","_bmad/wds/workflows/4-ux-design/workflow-design-system.md",""
"workflow-dream","The agent creates a complete scenario flow autonomously, then presents the result for user review.","wds","_bmad/wds/workflows/4-ux-design/workflow-dream.md",""
"handover","Package complete testable flows and hand off to development","wds","_bmad/wds/workflows/4-ux-design/workflow-handover.md",""
"workflow-sketch","Analyze user-provided sketches (photos, screenshots, wireframes) and translate them into structured page specifications.","wds","_bmad/wds/workflows/4-ux-design/workflow-sketch.md",""
"workflow-specify","Create a complete, implementation-ready page specification with layout, components, content, interactions, and states.","wds","_bmad/wds/workflows/4-ux-design/workflow-specify.md",""
"workflow-suggest","Build a scenario's page flow step by step, with the agent proposing and the user confirming at each stage.","wds","_bmad/wds/workflows/4-ux-design/workflow-suggest.md",""
